id,formId,type,title,description,placeholder,required,position,config,mappingTarget,mappingKey,createdAt,updatedAt
f350d1cf-ba5a-4692-901a-7a56d5be85b6,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,single_choice,Contratação,,,t,5,"{""pageKey"": ""d3c948e5-24b1-4563-86c5-dc9b8ba5ab1c""}",history,,2026-07-22 12:41:59.459+00,2026-07-22 12:41:59.459+00
4326e19b-816c-420d-b6e1-5d8f2ce938f6,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,multiple_choice,Qual hospital você não abre mão?,Selecione até 2 hospitais de referência.,,t,6,"{""pageKey"": ""989687aa-b656-45f4-8554-790a62c38250"", ""maxSelections"": 2}",native_field,referenceHospital,2026-07-22 12:41:59.496+00,2026-07-22 12:41:59.496+00
04e63122-87ed-4213-85bf-e240586afbde,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,text,Nome completo,,Seu nome,t,7,"{""pageKey"": ""870bf342-b6fe-40e7-86a2-350ba44d2f2a""}",native_field,name,2026-07-22 12:41:59.534+00,2026-07-22 12:41:59.534+00
0993e5d2-25b8-45d9-88d2-5e406b45442c,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,phone,WhatsApp,,(11) 99999-9999,t,8,"{""pageKey"": ""870bf342-b6fe-40e7-86a2-350ba44d2f2a""}",native_field,phone,2026-07-22 12:41:59.559+00,2026-07-22 12:41:59.559+00
66e5e841-e116-4362-a82c-a746d2559905,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,email,E-mail,,seuemail@exemplo.com,t,9,"{""pageKey"": ""870bf342-b6fe-40e7-86a2-350ba44d2f2a""}",native_field,email,2026-07-22 12:41:59.584+00,2026-07-22 12:41:59.584+00
1df6dfc3-a9a4-4cd6-8fba-bc16e3509341,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,scheduling,Escolha o melhor horário,Selecione um horário disponível. Você vai receber o convite no e-mail.,,f,10,"{""pageKey"": ""6f45e27b-9f2c-4336-861e-5e8d9e6db43e""}",history,,2026-07-22 12:41:59.609+00,2026-07-22 12:41:59.609+00
b32f2ab6-4286-4b4a-8934-db3447605bdb,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,text,Nova pergunta,,,f,11,"{""pageKey"": ""a54508e9-9f9e-4ed8-9beb-77af0025e972""}",history,,2026-07-22 12:41:59.634+00,2026-07-22 12:41:59.634+00
030f4305-e559-4480-92b9-875370b627e5,e1397c97-d109-4fd0-b1e0-7f5e287e4976,text,Nome,Descreva  o seu nome,Jonh Doe,t,0,{},native_field,name,2026-07-20 22:33:10.469+00,2026-07-22 17:58:31.625+00
f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,e1397c97-d109-4fd0-b1e0-7f5e287e4976,text,E-mail,Descreva  o seu -mail,meu@email.com,t,1,{},native_field,email,2026-07-20 22:33:10.519+00,2026-07-22 17:58:31.654+00
cb0311f2-c770-4050-bb84-58d7fc3562a2,e1397c97-d109-4fd0-b1e0-7f5e287e4976,boolean,Nova Adesão?,É uma nova adesão?,,f,2,"{""pageKey"": ""47b55c5a-00a1-4810-b348-de8e87597da0""}",notes,,2026-07-22 17:58:27.681+00,2026-07-22 17:58:31.684+00
4aab1125-ab2d-4d14-872e-668024d19e09,e1397c97-d109-4fd0-b1e0-7f5e287e4976,text,Reseponda para receber e-mail,,,f,3,"{""pageKey"": ""26dd0f56-4147-480d-a67f-c42b949131ab""}",history,,2026-07-22 17:58:27.704+00,2026-07-22 17:58:31.713+00
c26ba5e9-67ab-4d42-b145-45574e02f87b,5ca5ab21-ce86-4aae-b88f-8e2ccdb05759,text,Nome,Informe seu nome,"",t,0,"{""pageKey"": ""909b0cf8-271a-48d1-a164-0a2f88845a4c""}",native_field,name,2026-07-27 18:51:12.888+00,2026-07-27 19:13:32.19+00
42f62d69-315e-4d42-981e-995b728fb0ee,5ca5ab21-ce86-4aae-b88f-8e2ccdb05759,boolean,Você já possui SUSEP?,"",,t,1,"{""pageKey"": ""93cf51fc-bd16-4db6-a978-b4792d91ef52""}",notes,,2026-07-27 19:07:12.171+00,2026-07-27 19:13:32.219+00
efc16e7f-cc47-422c-b4ca-9c40efd15202,5ca5ab21-ce86-4aae-b88f-8e2ccdb05759,multiple_choice,Como você faz a gestão da sua carteira/clientes hoje?,"",,t,2,"{""pageKey"": ""547e97e1-19bc-4c09-93a8-6eb558fe75b8""}",notes,,2026-07-27 19:07:12.196+00,2026-07-27 19:13:32.245+00
ddb09bc4-567e-48ff-9164-ac48474ed58b,5ca5ab21-ce86-4aae-b88f-8e2ccdb05759,text,Informe seu e-mail,,,t,3,"{""pageKey"": ""d2595e77-0889-40db-b27c-3636300ff364""}",native_field,email,2026-07-27 19:07:12.227+00,2026-07-27 19:13:32.29+00
a2c97a87-44f4-4c74-86fc-80928be84aa0,5ca5ab21-ce86-4aae-b88f-8e2ccdb05759,phone,Informe seu WhatsApp,,,t,4,"{""pageKey"": ""d2595e77-0889-40db-b27c-3636300ff364""}",native_field,phone,2026-07-27 19:07:12.244+00,2026-07-27 19:13:32.316+00
6c7e6352-3c2a-4c96-aa61-40a86d7bbae6,1787b447-ad1b-4a81-9b5a-175b0f3c1db9,text,Nome,Informe seu nome,"",t,0,"{""pageKey"": ""909b0cf8-271a-48d1-a164-0a2f88845a4c""}",native_field,name,2026-07-27 19:17:12.438+00,2026-07-27 19:18:29.392+00
a3d47885-cbbc-4ae9-9359-dd160186ddb7,1787b447-ad1b-4a81-9b5a-175b0f3c1db9,boolean,Você já possui SUSEP?,"",,t,1,"{""pageKey"": ""93cf51fc-bd16-4db6-a978-b4792d91ef52""}",notes,,2026-07-27 19:17:12.466+00,2026-07-27 19:18:29.424+00
3316b823-c1d7-4f9e-b00f-a4459cdf9bce,1787b447-ad1b-4a81-9b5a-175b0f3c1db9,multiple_choice,Como você faz a gestão da sua carteira/clientes hoje?,"",,t,2,"{""pageKey"": ""547e97e1-19bc-4c09-93a8-6eb558fe75b8""}",notes,,2026-07-27 19:17:12.485+00,2026-07-27 19:18:29.452+00
2cd25abd-5b23-4ddf-a8a7-be18e492042b,1787b447-ad1b-4a81-9b5a-175b0f3c1db9,text,Informe seu e-mail,,,t,3,"{""pageKey"": ""d2595e77-0889-40db-b27c-3636300ff364""}",native_field,email,2026-07-27 19:17:12.521+00,2026-07-27 19:18:29.497+00
93954cdf-f63e-4130-ac96-e05b8300918f,1787b447-ad1b-4a81-9b5a-175b0f3c1db9,phone,Informe seu WhatsApp,,,t,4,"{""pageKey"": ""d2595e77-0889-40db-b27c-3636300ff364""}",native_field,phone,2026-07-27 19:17:12.54+00,2026-07-27 19:18:29.523+00
